Weddell,Shelf,Open,AP
689.4531998,457.4258457,694.9732961,541.6756878
595.493506,795.5787864,597.7919771,520.4451671
569.8749451,737.3185043,568.4116146,608.5940861
537.4152805,928.2147038,535.5702308,578.0045968
507.3456403,642.0481222,505.092128,575.3152816
418.9680745,576.9255035,419.6380216,390.6567841
379.7155231,462.1466987,379.6677958,378.8027236
324.2945469,433.3236271,323.8096815,343.20731
296.6521323,325.8075363,296.8616452,285.3996207
257.0445649,268.9049385,256.0330615,304.8838355
246.278526,NaN,244.5066758,303.7694157
226.1323446,NaN,226.1340584,NaN
217.0282941,NaN,217.034048,NaN
195.7981807,NaN,195.7981807,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
250.4016592,NaN,250.4016592,NaN
230.349922,NaN,230.3458725,NaN
246.5723916,NaN,246.5750204,NaN
264.1971482,NaN,264.1972321,NaN
308.8132558,NaN,308.8023707,346.5053205
247.1451048,NaN,248.1558499,232.9574116
297.7712202,NaN,298.7812416,280.2373988
366.3254359,NaN,366.7212548,NaN
410.2484073,NaN,410.4373584,457.8776245
464.0187071,NaN,464.6824414,326.0858765
449.3312558,NaN,446.2397173,464.850726
429.75179,NaN,464.2941721,361.1922818
476.2431892,NaN,480.5804288,468.8074797
459.5556749,NaN,474.1313324,435.1985492
501.804775,NaN,488.1063861,526.3983987
574.5618963,NaN,579.2841414,553.5904591
636.4447132,NaN,636.8761804,629.9325352
727.442693,NaN,730.8762894,625.6205166
820.4677389,753.6658616,824.7357552,619.4090434
819.5424587,891.5124092,823.5776895,638.3194188
700.6377705,887.2317197,701.3171174,654.168717
689.8140858,882.868878,692.1940361,549.3395013
584.9444115,725.0392014,584.5543796,577.9222547
544.7168849,680.4862601,545.8824134,481.5721249
473.7565911,610.5296089,473.4771706,459.5472654
403.6387627,551.5272323,402.0110034,454.1357131
362.8030637,462.1873238,361.2257041,424.0783637
331.5135228,354.9065705,330.3104115,380.3288769
300.431402,275.0143536,299.2088244,342.8098689
272.6748721,NaN,270.7052173,319.6927524
263.5313483,NaN,263.5274289,NaN
254.5517911,NaN,254.5382353,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
274.8309678,NaN,274.80063,NaN
340.0098576,NaN,340.2973023,NaN
298.0810528,NaN,298.346936,NaN
282.490535,NaN,282.8441309,NaN
298.8656544,NaN,299.2433227,NaN
310.0934658,NaN,310.516238,NaN
377.1631043,NaN,375.9396718,545.2765361
316.2843839,NaN,314.5408224,511.7792005
370.2767294,NaN,367.8120304,416.6689706
407.5730826,NaN,389.9230347,486.8286886
480.3677166,NaN,444.2765422,546.0640438
570.8039164,796.4784698,504.9197608,647.9145194
445.0834432,317.3467285,458.0195195,694.9339816
511.2589883,361.0329061,526.2061099,812.5820252
740.3205555,1064.205716,743.6499848,700.2197527
752.2715389,980.293228,754.9396723,692.0176143
698.5153421,818.7376879,701.9729399,622.8219612
678.2128513,960.5656758,680.2452436,604.1960079
661.5597751,767.4935627,662.0952157,632.3930093
656.2241283,772.1469647,653.2679988,713.2540608
607.1006798,740.7498236,606.1840305,594.1555763
535.205976,689.8938529,533.8710201,527.1460625
465.929255,743.7466831,461.5147244,542.3293692
403.9083345,536.3766444,401.152918,460.3519707
386.0242307,526.0726607,381.8546069,481.5147145
330.1896861,462.3614317,327.9779391,370.1872304
313.0448564,NaN,312.4113384,322.3157902
311.9121768,NaN,311.9063756,NaN
260.5156291,NaN,260.5124686,NaN
NaN,NaN,NaN,NaN
